2026-02-23 16:39:20 [INFO]   🔄 Reconectando Redis Pool... (delay: 1400ms)
2026-02-23 16:39:20 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:21 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:21 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:21 [INFO]   🔄 Redis: Tentativa 8, aguardando 1600ms...
2026-02-23 16:39:21 [WARN]   Redis não está acessível
2026-02-23 16:39:21 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:39:21 [INFO]   🔄 Reconectando Redis Pool... (delay: 1600ms)
2026-02-23 16:39:21 [ERROR]   ❌ [RedisScan] Erro ao escanear chaves com padrão connections:ip:*: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:21 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:21 [ERROR]   ❌ [DriverPoolMonitor] Erro ao buscar motoristas disponíveis: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:21 [ERROR]   ❌ [ConnectionCleanupService] Erro ao limpar registros órfãos: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details.
2026-02-23 16:39:22 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:23 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:23 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:23 [INFO]   🔄 Redis: Tentativa 9, aguardando 1800ms...
2026-02-23 16:39:23 [WARN]   Redis não está acessível
2026-02-23 16:39:23 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:39:23 [INFO]   🔄 Reconectando Redis Pool... (delay: 1800ms)
2026-02-23 16:39:24 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:24 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:25 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:25 [INFO]   🔄 Redis: Tentativa 10, aguardando 2000ms...
2026-02-23 16:39:25 [WARN]   Redis não está acessível
2026-02-23 16:39:25 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:39:25 [INFO]   🔄 Reconectando Redis Pool... (delay: 2000ms)
2026-02-23 16:39:25 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:26 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:27 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Command timed out
2026-02-23 16:39:27 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:27 [WARN]   ⚠️ Redis: Máximo de tentativas atingido (11)
2026-02-23 16:39:27 [WARN]   Redis não está acessível
2026-02-23 16:39:27 [WARN]   Redis Pool fechado, tentando reconectar
2026-02-23 16:39:27 [WARN]   ⚠️ Redis Pool desconectado
2026-02-23 16:39:27 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:27 [ERROR]   ❌ [RedisScan] Erro ao escanear chaves com padrão booking_search:*: Connection is closed.
2026-02-23 16:39:27 [ERROR]   ❌ [DriverPoolMonitor] Erro ao buscar motoristas disponíveis: Connection is closed.
2026-02-23 16:39:27 [ERROR]   ❌ [RadiusExpansionManager] Erro ao buscar corridas em SEARCHING: Connection is closed.
2026-02-23 16:39:28 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:28 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:29 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:30 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:31 [ERROR]   ❌ [DriverPoolMonitor] Erro ao buscar motoristas disponíveis: Connection is closed.
2026-02-23 16:39:31 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:31 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:32 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:34 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:34 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:35 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:36 [ERROR]   ❌ [RedisScan] Erro ao escanear chaves com padrão booking_search:*: Connection is closed.
2026-02-23 16:39:36 [ERROR]   ❌ [RadiusExpansionManager] Erro ao buscar corridas em SEARCHING: Connection is closed.
2026-02-23 16:39:36 [ERROR]   ❌ [DriverPoolMonitor] Erro ao buscar motoristas disponíveis: Connection is closed.
2026-02-23 16:39:36 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:37 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:38 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:39 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:40 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:41 [ERROR]   ❌ [DriverPoolMonitor] Erro ao buscar motoristas disponíveis: Connection is closed.
2026-02-23 16:39:41 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:42 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:43 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:44 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:46 [ERROR]   ❌ [RedisScan] Erro ao escanear chaves com padrão booking_search:*: Connection is closed.
2026-02-23 16:39:46 [ERROR]   ❌ [RadiusExpansionManager] Erro ao buscar corridas em SEARCHING: Connection is closed.
2026-02-23 16:39:46 [ERROR]   ❌ [DriverPoolMonitor] Erro ao buscar motoristas disponíveis: Connection is closed.
2026-02-23 16:39:46 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:46 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:48 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:49 [ERROR]   ❌ [QueueWorker] Erro ao buscar regiões ativas: Connection is closed.
2026-02-23 16:39:49 [ERROR]   ❌ Erro no subscriber Redis: connect ECONNREFUSED 127.0.0.1:6379
2026-02-23 16:39:51 [ERROR]   ❌ [DriverPoolMonitor] Erro ao buscar motoristas disponíveis: Connection is closed.
